Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,839-1249-ND,10-01935,CBL ASSY 2.5MM PLUG-CBL FLAT 6',,1,0,$4.73000,$4.73
2,1276-CL21A226MAYNNNECT-ND,CL21A226MAYNNNE,CAP CER 22UF 25V X5R 0805,,50,0,$0.16900,$8.45
3,768-1129-1-ND,FT231XS-R,IC USB SERIAL FULL UART 20SSOP,,2,0,$3.66000,$7.32
4,1568-1511-ND,PRT-12794,"JUMPER WIRE M/F 6"" 20PCS",,1,0,$3.08000,$3.08
5,1568-1513-ND,PRT-12796,"JUMPER WIRE F/F 6"" 20PCS",,1,0,$3.08000,$3.08
6,TSOP38538-ND,TSOP38538,SENSOR REMOTE REC 38.0KHZ 45M,,3,0,$1.69000,$5.07
7,1528-1962-ND,1951,"JUMPER WIRE F TO F 3"" 28AWG",,1,0,$2.86000,$2.86
8,1528-2233-ND,1953,"JUMPER WIRE M TO F 3"" 28AWG",,1,0,$2.86000,$2.86
9,1528-1966-ND,1956,"JUMPER WIRE M TO M 3"" 28AWG",,1,1,$2.86000,$2.86
10,4878-BZT52C5V1CT-ND,BZT52C5V1,DIODE ZENER 5.1V 500MW SOD123F,,20,0,$0.16900,$3.38
,,,,,,,Subtotal,$43.69
